#options: 576x1024 fps=29/1 timebase=1/29 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1100149 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:0.00 aq:0.32 tex:1839830 mv:96463 misc:155 imb:2304 pmb:0 smb:0 d:- ref:;
in:1 out:1 type:P dur:2 cpbdur:2 q:0.00 aq:0.84 tex:814987 mv:12755 misc:554 imb:198 pmb:2050 smb:56 d:- ref:0 ;
in:2 out:2 type:P dur:2 cpbdur:2 q:0.00 aq:0.19 tex:895294 mv:13633 misc:497 imb:268 pmb:1985 smb:51 d:- ref:0 ;
in:3 out:3 type:P dur:2 cpbdur:2 q:0.00 aq:0.88 tex:914980 mv:13481 misc:499 imb:191 pmb:2069 smb:44 d:- ref:0 ;
in:4 out:4 type:P dur:2 cpbdur:2 q:0.00 aq:0.20 tex:1281781 mv:14261 misc:262 imb:302 pmb:2001 smb:1 d:- ref:0 ;
in:5 out:5 type:P dur:2 cpbdur:2 q:0.00 aq:0.85 tex:1331736 mv:13789 misc:283 imb:278 pmb:2019 smb:7 d:- ref:0 ;
in:6 out:6 type:P dur:2 cpbdur:2 q:0.00 aq:0.25 tex:1161869 mv:14720 misc:299 imb:355 pmb:1938 smb:11 d:- ref:0 ;
in:8 out:7 type:P dur:2 cpbdur:2 q:0.00 aq:0.27 tex:1501350 mv:18496 misc:290 imb:551 pmb:1751 smb:2 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:0.00 aq:0.72 tex:912057 mv:22983 misc:384 imb:107 pmb:2164 smb:33 d:- ref:0 ;
in:9 out:9 type:P dur:2 cpbdur:2 q:0.00 aq:0.71 tex:1252217 mv:15533 misc:258 imb:442 pmb:1860 smb:2 d:- ref:0 ;
in:10 out:10 type:P dur:2 cpbdur:2 q:0.00 aq:0.44 tex:1071595 mv:13929 misc:380 imb:160 pmb:2118 smb:26 d:- ref:0 ;
in:11 out:11 type:P dur:2 cpbdur:2 q:0.00 aq:0.26 tex:1394269 mv:16875 misc:272 imb:371 pmb:1927 smb:6 d:- ref:0 ;
in:12 out:12 type:P dur:2 cpbdur:2 q:0.00 aq:0.77 tex:947540 mv:13395 misc:521 imb:139 pmb:2110 smb:55 d:- ref:0 ;
in:14 out:13 type:P dur:2 cpbdur:2 q:0.00 aq:0.79 tex:1526186 mv:18335 misc:271 imb:428 pmb:1875 smb:1 d:- ref:0 ;
